"","user","weekday","hour","domain","average"
"124","jakub",1,16,"pw.edu.pl",0.0301204819277108
"125","jakub",1,16,"youtube.com",0.132530120481928
"126","jakub",1,16,"google.com",0.337349397590361
"127","jakub",1,16,"facebook.com",0.0120481927710843
"128","jakub",1,16,"instagram.com",0
"129","jakub",1,17,"stackoverflow.com",0
"130","jakub",1,17,"wikipedia.org",0.0120481927710843
"131","jakub",1,17,"github.com",0
"132","jakub",1,17,"pw.edu.pl",0.0150602409638554
"133","jakub",1,17,"youtube.com",0.036144578313253
"134","jakub",1,17,"google.com",0.325301204819277
"135","jakub",1,17,"facebook.com",0
"136","jakub",1,17,"instagram.com",0
"137","jakub",1,18,"stackoverflow.com",0
"138","jakub",1,18,"wikipedia.org",0.0451807228915663
"139","jakub",1,18,"github.com",0
"140","jakub",1,18,"pw.edu.pl",0.00301204819277108
"141","jakub",1,18,"youtube.com",0.0843373493975904
"142","jakub",1,18,"google.com",0.536144578313253
"143","jakub",1,18,"facebook.com",0.0481927710843374
"144","jakub",1,18,"instagram.com",0
"145","jakub",1,19,"stackoverflow.com",0.00602409638554217
"146","jakub",1,19,"wikipedia.org",0.00301204819277108
"147","jakub",1,19,"github.com",0
"148","jakub",1,19,"pw.edu.pl",0.00602409638554217
"149","jakub",1,19,"youtube.com",0.129518072289157
"150","jakub",1,19,"google.com",0.41566265060241
"151","jakub",1,19,"facebook.com",0.0210843373493976
"152","jakub",1,19,"instagram.com",0
"153","jakub",1,20,"stackoverflow.com",0
"154","jakub",1,20,"wikipedia.org",0
"155","jakub",1,20,"github.com",0.00301204819277108
"156","jakub",1,20,"pw.edu.pl",0
"157","jakub",1,20,"youtube.com",0.0481927710843374
"158","jakub",1,20,"google.com",0.605421686746988
"159","jakub",1,20,"facebook.com",0.0271084337349398
"160","jakub",1,20,"instagram.com",0
"161","jakub",1,21,"stackoverflow.com",0
"162","jakub",1,21,"wikipedia.org",0.00602409638554217
"163","jakub",1,21,"github.com",0.00903614457831325
"164","jakub",1,21,"pw.edu.pl",0
"165","jakub",1,21,"youtube.com",0.147590361445783
"166","jakub",1,21,"google.com",0.493975903614458
"167","jakub",1,21,"facebook.com",0.0271084337349398
"168","jakub",1,21,"instagram.com",0
"169","jakub",1,22,"stackoverflow.com",0
"170","jakub",1,22,"wikipedia.org",0
"171","jakub",1,22,"github.com",0
"172","jakub",1,22,"pw.edu.pl",0.0210843373493976
"173","jakub",1,22,"youtube.com",0.123493975903614
"174","jakub",1,22,"google.com",0.259036144578313
"175","jakub",1,22,"facebook.com",0.00602409638554217
"176","jakub",1,22,"instagram.com",0
"177","jakub",1,23,"stackoverflow.com",0
"178","jakub",1,23,"wikipedia.org",0.00301204819277108
"179","jakub",1,23,"github.com",0
"180","jakub",1,23,"pw.edu.pl",0.0150602409638554
"181","jakub",1,23,"youtube.com",0.0120481927710843
"182","jakub",1,23,"google.com",0.301204819277108
"183","jakub",1,23,"facebook.com",0.0120481927710843
"184","jakub",1,23,"instagram.com",0
"185","jakub",1,24,"stackoverflow.com",0
"186","jakub",1,24,"wikipedia.org",0
"187","jakub",1,24,"github.com",0
"188","jakub",1,24,"pw.edu.pl",0
"189","jakub",1,24,"youtube.com",0
"190","jakub",1,24,"google.com",0
"191","jakub",1,24,"facebook.com",0
"192","jakub",1,24,"instagram.com",0
"193","jakub",2,1,"stackoverflow.com",0
"194","jakub",2,1,"wikipedia.org",0.00301204819277108
"195","jakub",2,1,"github.com",0
"196","jakub",2,1,"pw.edu.pl",0
"197","jakub",2,1,"youtube.com",0
"198","jakub",2,1,"google.com",0.0512048192771084
"199","jakub",2,1,"facebook.com",0
"200","jakub",2,1,"instagram.com",0
"201","jakub",2,2,"stackoverflow.com",0
"202","jakub",2,2,"wikipedia.org",0.00301204819277108
"203","jakub",2,2,"github.com",0
"204","jakub",2,2,"pw.edu.pl",0
"205","jakub",2,2,"youtube.com",0
"206","jakub",2,2,"google.com",0.0150602409638554
"207","jakub",2,2,"facebook.com",0
"208","jakub",2,2,"instagram.com",0
"209","jakub",2,3,"stackoverflow.com",0
"210","jakub",2,3,"wikipedia.org",0
"211","jakub",2,3,"github.com",0
"212","jakub",2,3,"pw.edu.pl",0
"213","jakub",2,3,"youtube.com",0
"214","jakub",2,3,"google.com",0.00903614457831325
"215","jakub",2,3,"facebook.com",0
"216","jakub",2,3,"instagram.com",0
"217","jakub",2,4,"stackoverflow.com",0
"218","jakub",2,4,"wikipedia.org",0
"219","jakub",2,4,"github.com",0
"220","jakub",2,4,"pw.edu.pl",0
"221","jakub",2,4,"youtube.com",0
"222","jakub",2,4,"google.com",0
"223","jakub",2,4,"facebook.com",0
"224","jakub",2,4,"instagram.com",0
"225","jakub",2,5,"stackoverflow.com",0
"226","jakub",2,5,"wikipedia.org",0
"227","jakub",2,5,"github.com",0
"228","jakub",2,5,"pw.edu.pl",0
"229","jakub",2,5,"youtube.com",0
"230","jakub",2,5,"google.com",0
"231","jakub",2,5,"facebook.com",0
"232","jakub",2,5,"instagram.com",0
"233","jakub",2,6,"stackoverflow.com",0
"234","jakub",2,6,"wikipedia.org",0
"235","jakub",2,6,"github.com",0
"236","jakub",2,6,"pw.edu.pl",0
"237","jakub",2,6,"youtube.com",0
"238","jakub",2,6,"google.com",0.00602409638554217
"239","jakub",2,6,"facebook.com",0
"240","jakub",2,6,"instagram.com",0
"241","jakub",2,7,"stackoverflow.com",0
"242","jakub",2,7,"wikipedia.org",0
"243","jakub",2,7,"github.com",0
"244","jakub",2,7,"pw.edu.pl",0.0692771084337349
"245","jakub",2,7,"youtube.com",0
"246","jakub",2,7,"google.com",0.0271084337349398
"247","jakub",2,7,"facebook.com",0
"248","jakub",2,7,"instagram.com",0
"249","jakub",2,8,"stackoverflow.com",0
"250","jakub",2,8,"wikipedia.org",0
"251","jakub",2,8,"github.com",0
"252","jakub",2,8,"pw.edu.pl",0
"253","jakub",2,8,"youtube.com",0
