"date","domain","count","user"
"2020-01-03","facebook.com",8,1
"2020-01-03","instagram.com",0,1
"2020-01-04","stackoverflow.com",0,1
"2020-01-04","wikipedia.org",0,1
"2020-01-04","github.com",0,1
"2020-01-04","pw.edu.pl",0,1
"2020-01-04","youtube.com",22,1
"2020-01-04","google.com",0,1
"2020-01-04","facebook.com",21,1
"2020-01-04","instagram.com",0,1
"2020-01-05","stackoverflow.com",0,1
"2020-01-05","wikipedia.org",0,1
"2020-01-05","github.com",0,1
"2020-01-05","pw.edu.pl",0,1
"2020-01-05","youtube.com",16,1
"2020-01-05","google.com",0,1
"2020-01-05","facebook.com",1,1
"2020-01-05","instagram.com",0,1
"2020-01-06","stackoverflow.com",2,1
"2020-01-06","wikipedia.org",15,1
"2020-01-06","github.com",0,1
"2020-01-06","pw.edu.pl",12,1
"2020-01-06","youtube.com",32,1
"2020-01-06","google.com",74,1
"2020-01-06","facebook.com",28,1
"2020-01-06","instagram.com",0,1
"2020-01-07","stackoverflow.com",0,1
"2020-01-07","wikipedia.org",3,1
"2020-01-07","github.com",0,1
"2020-01-07","pw.edu.pl",9,1
"2020-01-07","youtube.com",32,1
"2020-01-07","google.com",3,1
"2020-01-07","facebook.com",9,1
"2020-01-07","instagram.com",0,1
"2020-01-08","stackoverflow.com",4,1
"2020-01-08","wikipedia.org",0,1
"2020-01-08","github.com",0,1
"2020-01-08","pw.edu.pl",20,1
"2020-01-08","youtube.com",16,1
"2020-01-08","google.com",33,1
"2020-01-08","facebook.com",6,1
"2020-01-08","instagram.com",0,1
"2020-01-09","stackoverflow.com",0,1
"2020-01-09","wikipedia.org",1,1
"2020-01-09","github.com",0,1
"2020-01-09","pw.edu.pl",16,1
"2020-01-09","youtube.com",0,1
"2020-01-09","google.com",25,1
"2020-01-09","facebook.com",0,1
"2020-01-09","instagram.com",0,1
"2020-01-10","stackoverflow.com",0,1
"2020-01-10","wikipedia.org",0,1
"2020-01-10","github.com",0,1
"2020-01-10","pw.edu.pl",0,1
"2020-01-10","youtube.com",0,1
"2020-01-10","google.com",11,1
"2020-01-10","facebook.com",0,1
"2020-01-10","instagram.com",0,1
"2020-01-11","stackoverflow.com",1,1
"2020-01-11","wikipedia.org",5,1
"2020-01-11","github.com",0,1
"2020-01-11","pw.edu.pl",37,1
"2020-01-11","youtube.com",58,1
"2020-01-11","google.com",25,1
"2020-01-11","facebook.com",3,1
"2020-01-11","instagram.com",0,1
"2020-01-12","stackoverflow.com",0,1
"2020-01-12","wikipedia.org",9,1
"2020-01-12","github.com",0,1
"2020-01-12","pw.edu.pl",28,1
"2020-01-12","youtube.com",66,1
"2020-01-12","google.com",62,1
"2020-01-12","facebook.com",9,1
"2020-01-12","instagram.com",0,1
"2020-01-13","stackoverflow.com",0,1
"2020-01-13","wikipedia.org",3,1
"2020-01-13","github.com",7,1
"2020-01-13","pw.edu.pl",18,1
"2020-01-13","youtube.com",8,1
"2020-01-13","google.com",5,1
"2020-01-13","facebook.com",9,1
"2020-01-13","instagram.com",0,1
"2020-01-14","stackoverflow.com",1,1
"2020-01-14","wikipedia.org",11,1
"2020-01-14","github.com",0,1
"2020-01-14","pw.edu.pl",8,1
"2020-01-14","youtube.com",42,1
"2020-01-14","google.com",27,1
"2020-01-14","facebook.com",29,1
"2020-01-14","instagram.com",0,1
"2020-01-15","stackoverflow.com",0,1
"2020-01-15","wikipedia.org",0,1
"2020-01-15","github.com",0,1
"2020-01-15","pw.edu.pl",0,1
"2020-01-15","youtube.com",0,1
"2020-01-15","google.com",29,1
"2020-01-15","facebook.com",0,1
"2020-01-15","instagram.com",0,1
"2020-01-16","stackoverflow.com",0,1
"2020-01-16","wikipedia.org",3,1
"2020-01-16","github.com",53,1
"2020-01-16","pw.edu.pl",0,1
"2020-01-16","youtube.com",0,1
"2020-01-16","google.com",16,1
"2020-01-16","facebook.com",0,1
"2020-01-16","instagram.com",0,1
"2020-01-17","stackoverflow.com",0,1
"2020-01-17","wikipedia.org",15,1
"2020-01-17","github.com",0,1
"2020-01-17","pw.edu.pl",4,1
"2020-01-17","youtube.com",29,1
"2020-01-17","google.com",129,1
"2020-01-17","facebook.com",46,1
"2020-01-17","instagram.com",0,1
"2020-01-18","stackoverflow.com",0,1
"2020-01-18","wikipedia.org",10,1
"2020-01-18","github.com",0,1
"2020-01-18","pw.edu.pl",0,1
"2020-01-18","youtube.com",2,1
"2020-01-18","google.com",170,1
"2020-01-18","facebook.com",11,1
"2020-01-18","instagram.com",0,1
"2020-01-19","stackoverflow.com",0,1
"2020-01-19","wikipedia.org",3,1
"2020-01-19","github.com",0,1
"2020-01-19","pw.edu.pl",2,1
"2020-01-19","youtube.com",13,1
"2020-01-19","google.com",85,1
"2020-01-19","facebook.com",16,1
"2020-01-19","instagram.com",0,1
"2020-01-20","stackoverflow.com",0,1
"2020-01-20","wikipedia.org",7,1
"2020-01-20","github.com",0,1
"2020-01-20","pw.edu.pl",16,1
"2020-01-20","youtube.com",0,1
"2020-01-20","google.com",44,1
"2020-01-20","facebook.com",8,1
"2020-01-20","instagram.com",0,1
"2020-01-21","stackoverflow.com",0,1
"2020-01-21","wikipedia.org",3,1
"2020-01-21","github.com",0,1
"2020-01-21","pw.edu.pl",31,1
"2020-01-21","youtube.com",0,1
"2020-01-21","google.com",31,1
"2020-01-21","facebook.com",0,1
"2020-01-21","instagram.com",0,1
"2020-01-22","stackoverflow.com",0,1
"2020-01-22","wikipedia.org",1,1
