"","time_usec","domain"
"139",2021-01-09 14:50:58,"pw.edu.pl"
"140",2021-01-09 01:55:30,"pw.edu.pl"
"141",2021-01-09 01:55:21,"pw.edu.pl"
"142",2021-01-09 01:53:50,"pw.edu.pl"
"143",2021-01-09 01:53:44,"pw.edu.pl"
"144",2021-01-09 01:53:32,"pw.edu.pl"
"145",2021-01-09 01:53:30,"pw.edu.pl"
"146",2021-01-09 01:19:15,"github.com"
"147",2021-01-09 01:19:08,"github.com"
"148",2021-01-09 00:47:07,"google.com"
"149",2021-01-09 00:47:00,"google.com"
"150",2021-01-09 00:46:13,"google.com"
"151",2021-01-09 00:34:15,"google.com"
"152",2021-01-09 00:28:19,"stackoverflow.com"
"153",2021-01-09 00:28:16,"google.com"
"154",2021-01-09 00:25:44,"stackoverflow.com"
"155",2021-01-09 00:25:39,"google.com"
"156",2021-01-09 00:25:32,"google.com"
"157",2021-01-09 00:24:44,"google.com"
"158",2021-01-09 00:00:58,"google.com"
"159",2021-01-08 23:54:16,"google.com"
"160",2021-01-08 23:42:03,"google.com"
"161",2021-01-08 23:01:37,"stackoverflow.com"
"162",2021-01-08 23:01:35,"google.com"
"163",2021-01-08 23:01:14,"github.com"
"164",2021-01-08 23:00:38,"github.com"
"165",2021-01-08 23:00:35,"github.com"
"166",2021-01-08 23:00:11,"github.com"
"167",2021-01-08 23:00:09,"github.com"
"168",2021-01-08 23:00:09,"github.com"
"169",2021-01-08 22:59:58,"github.com"
"170",2021-01-08 22:59:19,"google.com"
"171",2021-01-08 22:59:08,"google.com"
"172",2021-01-08 22:45:00,"google.com"
"173",2021-01-08 22:32:51,"stackoverflow.com"
"174",2021-01-08 22:32:50,"google.com"
"175",2021-01-08 22:29:14,"google.com"
"176",2021-01-08 21:38:02,"google.com"
"177",2021-01-08 21:35:18,"google.com"
"178",2021-01-08 21:20:42,"google.com"
"179",2021-01-08 21:18:41,"stackoverflow.com"
"180",2021-01-08 21:09:58,"google.com"
"181",2021-01-08 21:09:50,"google.com"
"182",2021-01-08 21:08:43,"google.com"
"183",2021-01-08 21:01:47,"google.com"
"184",2021-01-08 20:44:37,"google.com"
"185",2021-01-08 20:43:57,"google.com"
"186",2021-01-08 20:42:07,"google.com"
"187",2021-01-08 20:39:21,"google.com"
"188",2021-01-08 20:33:31,"github.com"
"189",2021-01-08 20:33:24,"github.com"
"190",2021-01-08 20:33:22,"github.com"
"191",2021-01-08 20:33:04,"github.com"
"192",2021-01-08 20:33:03,"github.com"
"193",2021-01-08 20:33:02,"github.com"
"194",2021-01-08 20:33:02,"github.com"
"195",2021-01-08 20:32:52,"github.com"
"196",2021-01-08 20:32:44,"github.com"
"197",2021-01-08 20:32:40,"github.com"
"198",2021-01-08 20:11:33,"stackoverflow.com"
"199",2021-01-08 20:11:32,"google.com"
"200",2021-01-08 19:58:54,"google.com"
"201",2021-01-08 19:56:10,"facebook.com"
"202",2021-01-08 19:56:04,"github.com"
"203",2021-01-08 19:55:37,"github.com"
"204",2021-01-08 19:55:32,"github.com"
"205",2021-01-08 19:55:27,"pw.edu.pl"
"206",2021-01-08 19:54:19,"pw.edu.pl"
"207",2021-01-08 19:54:13,"pw.edu.pl"
"208",2021-01-08 19:54:06,"pw.edu.pl"
"209",2021-01-08 19:54:04,"pw.edu.pl"
"210",2021-01-08 18:14:25,"github.com"
"211",2021-01-08 18:14:20,"github.com"
"212",2021-01-08 17:58:30,"google.com"
"213",2021-01-08 17:34:24,"pw.edu.pl"
"214",2021-01-08 17:30:11,"facebook.com"
"215",2021-01-08 17:19:50,"pw.edu.pl"
"216",2021-01-08 17:19:44,"pw.edu.pl"
"217",2021-01-08 17:19:36,"pw.edu.pl"
"218",2021-01-08 17:18:22,"pw.edu.pl"
